customerID,country,no_of_transactions,total_quantity,avg_price,avg_quantity,total_spent,avg_amount
15061,United Kingdom,7,6431,1.98,72,11429.50,128.42
13777,United Kingdom,7,3348,2.05,101,6585.16,199.55
17850,United Kingdom,34,1733,3.96,6,5391.21,18.15
16210,United Kingdom,2,1866,2.52,75,4738.54,189.54
16029,United Kingdom,3,1936,2.79,161,4271.52,355.96
17381,United Kingdom,3,2888,1.67,263,3603.72,327.61
17511,United Kingdom,2,2482,2.57,58,3470.68,80.71
14911,EIRE,7,1690,5.08,13,3466.03,26.87
13089,United Kingdom,3,1218,3.26,30,3230.62,78.80
13081,United Kingdom,2,1346,2.09,18,2366.78,31.98
17450,United Kingdom,2,786,3.91,262,2028.84,676.28
16754,United Kingdom,1,4280,0.62,2140,2002.40,1001.20
12567,France,2,778,4.34,9,1942.38,23.40
12433,Norway,1,1852,1.41,25,1919.14,26.29
15299,United Kingdom,3,2097,3.23,699,1835.01,611.67
14733,United Kingdom,1,680,4.30,24,1830.02,65.36
14031,United Kingdom,1,531,4.23,21,1714.25,68.57
14680,United Kingdom,1,464,3.29,33,1680.88,120.06
16422,United Kingdom,1,2048,1.43,158,1668.20,128.32
13767,United Kingdom,3,640,3.04,21,1636.96,52.81
12472,Germany,1,972,2.40,14,1631.30,23.30
15332,Lithuania,3,622,2.86,18,1598.06,47.00
13408,United Kingdom,2,824,2.14,59,1558.68,111.33
13013,United Kingdom,2,802,2.99,12,1528.34,22.81
12748,United Kingdom,11,988,2.19,3,1497.63,4.77
13174,United Kingdom,1,700,3.08,4,1415.97,8.38
17017,United Kingdom,3,1044,1.51,24,1389.12,31.57
13488,United Kingdom,1,516,3.43,11,1381.92,30.71
12967,United Kingdom,1,360,7.20,24,1368.40,91.23
17949,United Kingdom,1,120,10.95,120,1314.00,1314.00
17841,United Kingdom,3,467,4.03,3,1283.61,9.17
17809,United Kingdom,3,358,3.62,24,1251.50,83.43
15311,United Kingdom,2,508,2.87,7,1100.62,16.19
13941,United Kingdom,1,644,2.13,59,1095.12,99.56
16013,United Kingdom,2,360,3.25,120,1062.00,354.00
16244,United Kingdom,1,619,2.63,10,1056.63,16.77
12681,France,1,585,2.66,14,1033.52,25.21
15808,United Kingdom,1,355,3.10,6,1021.45,15.96
18055,United Kingdom,2,294,4.66,6,1000.48,21.29
12647,Germany,3,246,6.54,7,968.80,26.91
17677,United Kingdom,3,724,2.56,33,965.00,43.86
15838,United Kingdom,1,550,1.78,183,957.50,319.17
15485,United Kingdom,1,416,4.02,18,950.09,41.31
15502,United Kingdom,3,290,5.46,10,929.40,33.19
12583,France,1,449,2.76,22,855.86,42.79
13694,United Kingdom,1,1004,1.76,167,842.12,140.35
14135,United Kingdom,2,821,2.38,22,804.25,21.74
13093,United Kingdom,1,256,5.18,20,799.40,61.49
16456,United Kingdom,1,392,1.97,25,787.40,49.21
17581,United Kingdom,2,441,2.45,12,786.78,20.70
14307,United Kingdom,1,558,2.40,12,783.11,16.31
15601,United Kingdom,1,666,1.72,14,768.38,16.01
13370,United Kingdom,1,343,3.73,9,754.87,19.36
17787,United Kingdom,1,356,3.51,11,736.28,23.75
17920,United Kingdom,2,302,2.83,3,735.91,7.75
17059,United Kingdom,1,471,2.13,4,722.36,6.17
17838,United Kingdom,1,472,2.55,15,717.16,23.13
14739,United Kingdom,1,476,1.50,40,713.88,59.49
12347,Iceland,1,319,2.89,10,711.79,22.96
15301,United Kingdom,1,503,2.62,15,673.37,19.81
15002,United Kingdom,1,279,3.03,9,631.65,20.38
16718,United Kingdom,1,413,2.34,9,623.75,13.86
15093,United Kingdom,1,879,1.39,55,623.73,38.98
13418,United Kingdom,2,234,3.39,10,623.24,27.10
12557,Spain,1,400,1.57,80,620.00,124.00
14907,United Kingdom,1,234,3.36,8,618.07,22.07
17675,United Kingdom,1,236,3.27,20,617.12,51.43
15039,United Kingdom,1,266,3.77,5,611.51,10.92
17819,United Kingdom,1,239,2.44,20,591.47,49.29
13468,United Kingdom,3,195,4.93,6,582.23,17.12
15955,United Kingdom,1,246,2.95,12,572.38,28.62
14282,United Kingdom,1,300,2.13,23,571.00,43.92
14800,United Kingdom,1,437,1.87,9,555.84,10.90
16550,United Kingdom,1,257,2.77,5,554.66,11.56
16839,United Kingdom,1,232,3.97,46,552.24,110.45
15716,United Kingdom,1,435,2.50,11,547.10,14.40
13564,United Kingdom,1,256,3.61,6,540.00,13.17
15465,United Kingdom,1,125,6.15,18,535.75,76.54
16327,United Kingdom,1,392,1.76,6,535.60,8.12
13756,United Kingdom,1,288,1.85,144,532.80,266.40
15898,United Kingdom,2,230,3.19,4,521.69,8.15
17567,United Kingdom,1,244,3.51,9,517.95,19.18
15570,United Kingdom,1,165,4.00,4,517.65,11.76
14667,United Kingdom,1,372,2.92,16,511.56,21.32
13495,United Kingdom,1,209,2.58,15,510.95,36.50
17191,United Kingdom,3,320,2.63,4,510.11,7.08
15649,United Kingdom,1,120,4.25,120,510.00,510.00
12841,United Kingdom,2,321,2.75,7,505.99,10.77
18074,United Kingdom,1,190,4.78,15,489.60,37.66
15165,United Kingdom,1,160,4.99,6,487.75,18.06
16722,United Kingdom,1,278,2.02,17,480.68,30.04
18118,United Kingdom,1,212,2.54,2,475.86,4.03
15078,United Kingdom,2,213,2.92,10,475.15,21.60
12720,Germany,1,299,2.68,10,473.39,15.78
16218,United Kingdom,1,438,1.17,16,471.30,16.83
14748,United Kingdom,2,330,2.29,10,470.42,14.70
15023,United Kingdom,1,232,3.52,6,460.60,12.45
17402,United Kingdom,2,120,4.52,5,459.97,19.17
17735,United Kingdom,1,218,2.41,10,454.60,20.66
17685,United Kingdom,1,331,1.55,28,452.52,37.71
17320,United Kingdom,1,210,3.86,10,450.92,20.50
14688,United Kingdom,1,454,1.76,24,444.98,23.42
15024,United Kingdom,1,235,2.91,5,444.42,9.46
13448,United Kingdom,2,162,3.62,9,443.96,24.66
16539,United Kingdom,1,301,2.41,14,442.35,21.06
15983,United Kingdom,1,329,1.88,10,440.89,13.78
18239,United Kingdom,1,208,3.34,7,438.10,15.11
16719,United Kingdom,1,146,4.53,3,430.73,9.79
16098,United Kingdom,1,134,5.97,11,430.60,35.88
18041,United Kingdom,2,324,1.96,4,428.94,5.30
12725,Italy,1,164,4.10,7,427.80,17.83
13030,United Kingdom,1,204,3.13,3,427.74,7.13
14081,United Kingdom,1,252,3.04,4,423.52,6.14
15260,United Kingdom,2,254,3.08,15,420.50,24.74
14708,United Kingdom,1,350,2.64,29,419.06,34.92
12913,United Kingdom,1,146,3.06,37,417.62,104.41
14573,United Kingdom,1,134,4.01,2,413.10,5.44
15426,United Kingdom,1,159,2.97,2,411.42,4.78
13798,United Kingdom,1,160,2.55,160,408.00,408.00
13831,United Kingdom,1,160,2.55,80,408.00,204.00
14775,United Kingdom,1,384,1.15,19,406.56,20.33
15194,United Kingdom,1,247,2.79,15,406.16,25.39
17396,United Kingdom,1,106,3.75,35,397.50,132.50
16150,United Kingdom,1,174,3.34,8,393.42,17.88
17596,United Kingdom,1,530,2.26,9,392.62,6.54
17682,United Kingdom,1,210,2.01,12,391.50,21.75
14606,United Kingdom,2,176,2.90,2,391.00,4.77
12838,United Kingdom,1,228,1.97,4,390.79,6.62
17863,United Kingdom,1,276,1.47,13,384.72,18.32
15858,United Kingdom,1,199,3.31,5,383.93,8.73
17259,United Kingdom,1,275,2.21,3,381.64,4.39
16455,United Kingdom,2,250,1.69,13,381.30,20.07
14466,United Kingdom,1,137,5.73,14,379.75,37.98
13155,United Kingdom,1,168,2.91,3,379.70,7.30
16293,United Kingdom,1,189,3.41,12,378.75,23.67
17690,United Kingdom,2,170,2.49,12,376.80,26.91
16858,United Kingdom,1,91,5.35,9,375.69,37.57
15574,United Kingdom,1,176,2.10,1,375.65,3.10
16710,United Kingdom,1,197,2.17,3,375.47,6.47
14673,United Kingdom,1,213,2.15,14,373.49,24.90
15882,United Kingdom,2,164,2.04,10,371.32,23.21
17238,United Kingdom,2,126,3.74,2,370.09,6.17
15922,United Kingdom,1,138,4.41,13,369.50,33.59
13047,United Kingdom,3,101,4.90,6,366.63,21.57
14293,United Kingdom,1,172,2.44,11,364.92,24.33
13758,United Kingdom,1,137,3.62,8,362.45,21.32
17019,United Kingdom,1,223,2.13,5,358.82,7.32
12747,United Kingdom,1,108,3.02,15,358.56,51.22
12431,Australia,1,107,5.28,8,358.25,25.59
16274,United Kingdom,1,155,4.28,2,357.95,5.34
15513,United Kingdom,1,116,3.12,39,357.00,119.00
17228,United Kingdom,2,211,1.90,7,355.95,11.87
14849,United Kingdom,3,188,3.34,11,355.84,20.93
16143,United Kingdom,1,145,2.97,9,355.75,22.23
15544,United Kingdom,1,274,1.95,11,354.54,13.64
15862,United Kingdom,1,124,3.24,2,354.23,5.53
17976,United Kingdom,1,106,3.53,2,353.19,5.43
17428,United Kingdom,1,148,3.24,16,353.00,39.22
13269,United Kingdom,1,197,3.38,16,351.43,29.29
15708,United Kingdom,1,158,3.87,4,350.68,8.35
15100,United Kingdom,1,32,10.95,32,350.40,350.40
13108,United Kingdom,1,298,1.75,30,350.06,35.01
13576,United Kingdom,1,108,3.28,10,349.15,31.74
12395,Belgium,1,528,3.12,44,346.10,28.84
18229,United Kingdom,1,44,6.95,6,344.20,49.17
15880,United Kingdom,1,211,2.17,2,343.28,3.27
17235,United Kingdom,1,126,3.43,13,341.90,34.19
14344,United Kingdom,2,123,5.03,9,340.65,26.20
14060,United Kingdom,1,504,0.74,63,339.84,42.48
16904,United Kingdom,2,139,2.93,4,338.70,10.93
12682,France,1,132,4.19,8,336.24,21.02
17519,United Kingdom,1,184,3.98,10,335.30,18.63
15373,United Kingdom,1,42,9.36,4,334.30,30.39
15640,United Kingdom,1,180,1.83,26,333.72,47.67
13069,United Kingdom,2,183,1.74,4,332.50,7.73
15738,United Kingdom,1,255,1.85,18,329.65,23.55
14409,United Kingdom,2,168,1.98,84,328.80,164.40
15291,United Kingdom,1,112,3.00,56,328.80,164.40
17491,United Kingdom,1,268,1.40,54,327.40,65.48
14045,United Kingdom,1,128,2.55,128,326.40,326.40
17616,United Kingdom,1,128,2.55,128,326.40,326.40
15363,United Kingdom,1,144,2.99,9,326.00,20.38
17884,United Kingdom,2,236,2.37,4,324.62,5.07
12921,United Kingdom,1,140,2.48,9,322.40,21.49
13769,United Kingdom,1,122,2.83,12,322.30,32.23
14156,EIRE,1,1548,0.62,516,322.20,107.40
12763,Japan,1,196,1.81,12,320.08,20.01
15525,United Kingdom,1,124,3.35,2,313.93,5.51
14729,United Kingdom,1,197,2.16,3,313.49,4.42
14388,United Kingdom,1,170,3.01,8,312.80,14.90
14142,United Kingdom,1,313,1.77,14,311.81,14.17
15353,United Kingdom,1,131,4.13,11,311.65,25.97
16781,United Kingdom,1,113,5.01,7,311.25,18.31
14189,United Kingdom,1,254,2.27,28,311.24,34.58
14083,United Kingdom,1,179,2.89,3,309.54,4.69
13652,United Kingdom,1,112,3.90,6,308.80,17.16
14395,United Kingdom,1,174,2.96,6,308.68,11.43
13402,United Kingdom,1,190,2.73,11,308.28,18.13
14085,United Kingdom,1,106,2.88,9,308.05,25.67
16186,United Kingdom,1,231,1.92,12,307.68,15.38
15694,United Kingdom,1,80,5.36,13,306.40,51.07
15658,United Kingdom,1,64,7.19,5,306.20,21.87
14210,United Kingdom,1,93,4.50,6,304.95,20.33
14496,United Kingdom,1,86,5.36,17,304.34,60.87
12947,United Kingdom,1,184,2.96,11,304.04,17.88
17732,United Kingdom,1,93,4.95,5,303.97,16.89
18085,United Kingdom,1,78,3.84,9,303.90,33.77
12427,Germany,1,79,4.93,8,303.50,30.35
14443,United Kingdom,1,163,2.51,8,303.50,15.18
13520,Switzerland,1,110,9.24,18,303.40,50.57
14001,United Kingdom,1,94,4.42,10,301.24,33.47
13506,United Kingdom,1,232,2.83,14,301.12,17.71
17674,United Kingdom,1,349,0.66,32,300.66,27.33
16546,United Kingdom,1,156,1.84,26,299.40,49.90
17552,United Kingdom,2,144,3.71,11,298.52,22.96
15889,United Kingdom,1,149,2.95,2,297.92,4.51
17951,United Kingdom,1,118,4.40,24,295.50,59.10
14696,United Kingdom,1,284,2.32,16,294.62,16.37
17091,United Kingdom,1,101,3.50,8,293.45,22.57
14527,United Kingdom,1,60,5.36,2,292.95,10.46
17223,United Kingdom,1,64,5.11,2,292.84,9.76
17218,United Kingdom,1,131,2.53,3,292.54,5.74
17757,United Kingdom,2,140,2.69,3,292.45,6.96
15111,United Kingdom,1,106,4.05,7,288.50,18.03
14047,United Kingdom,1,108,5.67,9,286.92,23.91
14161,United Kingdom,1,128,2.84,5,283.15,10.89
17924,United Kingdom,1,60,4.65,30,279.00,139.50
16241,United Kingdom,1,97,3.91,7,277.65,19.83
18109,United Kingdom,1,55,4.89,4,277.45,19.82
17968,United Kingdom,1,160,1.93,2,277.35,3.26
17069,United Kingdom,1,103,3.30,9,277.05,25.19
16168,United Kingdom,1,124,4.67,41,275.80,91.93
15351,United Kingdom,1,129,2.58,3,274.67,5.39
17211,United Kingdom,1,204,2.09,6,273.30,8.28
16814,United Kingdom,1,107,3.31,7,273.29,18.22
13715,United Kingdom,1,107,3.32,7,272.65,18.18
17198,United Kingdom,1,124,2.87,2,272.01,5.13
15919,United Kingdom,1,242,2.92,5,270.72,5.52
14506,United Kingdom,1,112,2.80,2,269.70,5.39
18168,United Kingdom,1,133,4.31,5,263.30,9.75
17964,United Kingdom,1,195,3.56,6,261.76,7.48
12662,Germany,1,157,2.96,10,261.48,17.43
15752,United Kingdom,1,153,1.89,11,259.65,18.55
17243,United Kingdom,1,92,3.07,8,256.90,23.35
16048,United Kingdom,2,144,1.62,18,256.44,32.06
14594,United Kingdom,1,146,3.01,5,255.00,8.23
16905,United Kingdom,1,108,3.95,11,254.40,25.44
17860,United Kingdom,1,104,2.56,2,252.80,4.36
17858,United Kingdom,1,87,5.36,5,251.25,13.22
14723,United Kingdom,2,115,2.75,3,250.94,5.84
12779,Poland,1,140,2.37,18,248.16,31.02
16510,United Kingdom,1,92,5.35,7,248.10,19.08
17659,United Kingdom,1,64,6.31,5,247.80,20.65
16817,United Kingdom,1,164,1.77,16,244.20,24.42
17925,United Kingdom,1,72,3.39,72,244.08,244.08
17908,United Kingdom,1,173,2.67,3,243.28,4.19
13838,United Kingdom,1,83,3.77,2,238.11,4.58
14829,United Kingdom,1,190,1.80,10,236.97,12.47
16583,United Kingdom,1,111,2.56,8,233.45,16.68
16891,United Kingdom,1,92,2.75,1,232.26,3.37
13786,United Kingdom,1,136,1.89,19,230.40,32.91
16926,United Kingdom,1,35,6.98,3,230.25,16.45
16654,United Kingdom,1,63,5.70,7,227.40,25.27
16250,United Kingdom,1,108,3.38,8,226.14,16.15
13255,United Kingdom,1,110,4.55,18,225.70,37.62
16477,United Kingdom,1,125,2.55,9,225.65,16.12
17377,United Kingdom,1,102,2.81,7,223.90,14.93
14390,United Kingdom,1,74,3.26,3,223.70,8.29
13094,United Kingdom,1,192,1.20,64,223.68,74.56
17287,United Kingdom,2,108,2.89,5,222.70,10.12
17812,United Kingdom,1,144,2.34,4,217.55,6.59
17135,United Kingdom,1,222,1.21,25,215.58,23.95
17873,United Kingdom,1,129,2.02,14,215.15,23.91
17869,United Kingdom,1,67,5.48,4,214.32,13.40
16402,United Kingdom,1,105,2.63,2,211.80,3.72
14449,United Kingdom,1,142,1.74,3,210.24,4.20
18219,United Kingdom,1,67,4.65,5,210.19,16.17
15953,United Kingdom,1,101,2.53,6,209.84,13.12
17855,United Kingdom,1,197,1.77,12,208.97,12.29
18156,United Kingdom,1,73,2.98,1,206.23,3.75
13065,United Kingdom,1,74,5.22,5,205.86,14.70
14901,United Kingdom,1,105,2.52,6,204.15,11.34
13748,United Kingdom,1,80,2.55,80,204.00,204.00
16353,United Kingdom,1,48,4.25,48,204.00,204.00
12868,United Kingdom,1,112,3.17,9,203.30,16.94
13117,United Kingdom,1,130,1.70,9,202.12,13.47
14180,United Kingdom,1,31,8.65,3,201.75,16.81
17905,United Kingdom,1,72,4.78,3,201.75,8.77
12915,United Kingdom,1,41,7.69,3,199.65,15.36
15555,United Kingdom,1,293,0.82,9,198.43,6.20
16919,United Kingdom,1,73,3.35,3,198.35,9.02
16916,United Kingdom,1,103,2.54,2,198.08,3.96
17412,United Kingdom,1,50,4.71,6,197.30,24.66
12708,Germany,1,89,3.45,6,196.44,14.03
15605,United Kingdom,1,71,4.85,6,194.85,16.24
13138,United Kingdom,1,125,2.77,9,193.23,13.80
12791,Netherlands,1,97,8.43,49,192.60,96.30
15012,United Kingdom,1,86,2.71,2,191.06,3.54
15827,United Kingdom,2,109,4.36,8,190.93,13.64
15646,United Kingdom,1,230,1.39,14,189.80,11.16
14236,United Kingdom,1,38,5.55,13,189.30,63.10
16955,United Kingdom,2,100,5.96,14,189.10,27.01
15028,United Kingdom,1,119,2.79,9,185.97,13.28
16393,United Kingdom,1,86,2.16,9,184.80,18.48
14741,United Kingdom,1,114,1.79,13,184.50,20.50
14825,United Kingdom,1,72,3.31,7,184.10,18.41
18119,United Kingdom,1,125,2.78,4,181.12,6.04
14810,United Kingdom,1,84,2.91,4,180.44,7.85
17062,United Kingdom,1,163,2.11,6,179.64,6.91
17470,United Kingdom,1,112,2.28,10,178.40,16.22
16086,United Kingdom,1,76,3.34,10,177.26,22.16
12712,Germany,1,60,5.18,7,175.53,19.50
17760,United Kingdom,1,165,2.62,18,172.54,19.17
16203,United Kingdom,1,70,3.08,6,170.70,15.52
16221,United Kingdom,1,52,2.99,4,166.74,13.90
17068,United Kingdom,1,80,2.60,3,166.15,6.92
14215,United Kingdom,1,104,2.12,17,166.00,27.67
13173,United Kingdom,1,114,2.65,5,165.94,7.21
17897,United Kingdom,1,72,2.71,2,165.89,4.74
13034,United Kingdom,1,116,1.68,11,165.86,15.08
15235,United Kingdom,2,59,3.28,7,165.05,18.34
18144,United Kingdom,1,95,2.63,32,165.05,55.02
16634,United Kingdom,1,64,4.70,8,164.80,20.60
13579,United Kingdom,1,46,4.58,5,164.70,18.30
16161,United Kingdom,1,88,2.79,6,164.20,10.95
16983,United Kingdom,1,107,2.48,12,163.49,18.17
14237,United Kingdom,1,38,7.12,4,161.00,17.89
17025,United Kingdom,2,139,1.97,28,160.97,32.19
13090,United Kingdom,1,76,1.90,19,160.60,40.15
14176,United Kingdom,1,61,3.75,7,159.55,17.73
15894,United Kingdom,1,115,2.00,3,156.74,4.12
12971,United Kingdom,2,210,1.00,19,156.66,14.24
15965,United Kingdom,1,74,2.50,5,156.19,9.76
16033,United Kingdom,1,52,3.11,2,155.64,5.99
17181,United Kingdom,1,216,0.81,108,155.52,77.76
14813,United Kingdom,2,67,2.83,2,155.43,5.18
12738,Germany,1,148,3.95,13,155.35,14.12
13497,United Kingdom,1,54,3.92,6,153.50,17.06
13705,United Kingdom,1,102,2.11,11,153.14,17.02
16931,United Kingdom,1,82,1.97,2,152.05,3.71
13963,United Kingdom,1,54,3.29,8,151.30,21.61
15356,United Kingdom,1,80,1.99,2,150.22,2.83
17346,United Kingdom,1,88,2.25,3,146.61,4.19
17691,United Kingdom,1,58,3.89,6,142.50,15.83
17227,United Kingdom,1,92,1.46,9,142.25,14.23
15732,United Kingdom,1,97,1.84,19,138.10,27.62
14078,United Kingdom,1,29,3.49,2,136.24,10.48
13305,United Kingdom,1,132,1.09,26,136.20,27.24
15545,United Kingdom,1,75,2.98,2,135.33,4.37
14404,United Kingdom,1,57,3.17,2,133.48,5.13
12793,Portugal,1,65,5.49,9,131.80,18.83
16411,United Kingdom,1,70,2.28,3,131.50,6.26
17420,United Kingdom,1,53,5.57,8,130.85,18.69
16770,United Kingdom,1,56,2.65,9,130.80,21.80
12808,Portugal,1,53,5.73,8,129.40,18.49
17954,United Kingdom,2,62,3.13,4,128.68,8.58
16883,United Kingdom,1,54,3.66,3,128.03,7.53
16752,United Kingdom,1,53,5.30,7,127.55,15.94
17961,United Kingdom,1,45,3.62,2,127.55,4.40
14491,United Kingdom,1,40,4.15,10,127.20,31.80
15923,United Kingdom,1,122,2.81,6,127.08,6.05
15038,United Kingdom,1,46,2.99,1,126.43,3.61
14487,United Kingdom,1,37,2.97,3,125.10,9.62
16140,United Kingdom,1,104,1.71,15,124.14,17.73
16658,United Kingdom,1,40,3.02,5,123.24,15.41
15304,United Kingdom,1,21,6.91,4,123.15,24.63
17967,United Kingdom,1,80,1.88,2,123.07,2.56
15984,United Kingdom,1,56,2.27,11,122.70,24.54
16725,United Kingdom,1,64,3.23,3,122.15,4.89
13569,United Kingdom,1,44,3.37,2,118.32,4.93
16059,United Kingdom,1,51,2.40,3,118.25,6.57
16928,United Kingdom,1,93,1.25,16,116.25,19.38
16898,United Kingdom,1,98,2.25,3,116.08,3.63
15107,United Kingdom,1,26,6.60,5,116.00,23.20
15350,United Kingdom,1,51,2.67,10,115.65,23.13
17796,United Kingdom,1,28,4.21,1,114.65,6.03
15987,United Kingdom,1,86,2.58,10,113.48,12.61
15867,United Kingdom,1,47,2.67,2,112.90,3.89
15018,United Kingdom,1,21,7.30,4,111.25,22.25
14396,United Kingdom,1,39,3.00,1,110.35,3.25
15070,United Kingdom,1,36,2.95,36,106.20,106.20
18011,United Kingdom,1,71,2.36,3,102.79,3.67
15860,United Kingdom,1,72,2.50,5,102.66,6.84
17720,United Kingdom,1,24,4.25,24,102.00,102.00
17643,United Kingdom,1,71,4.02,9,101.55,12.69
17802,United Kingdom,1,75,1.54,6,100.20,8.35
13491,United Kingdom,1,36,4.56,5,98.90,14.13
15048,United Kingdom,1,32,2.88,1,98.70,4.29
14898,United Kingdom,1,18,8.22,6,98.50,32.83
13880,United Kingdom,1,54,2.16,9,97.80,16.30
16552,United Kingdom,1,39,4.64,8,95.29,19.06
15602,United Kingdom,1,57,3.05,19,92.55,30.85
15769,United Kingdom,1,36,2.55,36,91.80,91.80
12686,France,1,107,3.26,15,89.14,12.73
15180,United Kingdom,1,36,3.27,6,87.50,14.58
16835,United Kingdom,1,19,5.34,4,81.75,16.35
13747,United Kingdom,1,8,9.95,8,79.60,79.60
12600,Germany,1,31,9.98,16,76.50,38.25
18113,United Kingdom,1,72,1.06,72,76.32,76.32
17572,United Kingdom,1,24,2.95,6,70.80,17.70
17460,United Kingdom,2,26,6.03,13,70.30,35.15
15899,United Kingdom,1,39,4.13,10,56.25,14.06
13011,United Kingdom,1,13,4.22,4,50.55,16.85
16638,United Kingdom,1,24,2.10,12,50.40,25.20
14589,United Kingdom,1,5,7.95,2,39.75,13.25
12855,United Kingdom,1,30,1.55,10,38.10,12.70
17965,United Kingdom,1,14,3.72,2,37.35,5.34
14865,United Kingdom,1,96,0.45,32,37.20,12.40
14576,United Kingdom,1,12,2.95,12,35.40,35.40
17026,United Kingdom,1,25,4.82,8,33.15,11.05
15823,United Kingdom,1,1,15.00,1,15.00,15.00
